Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Isolation_Source,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,samp_size,Sample Name,Source_material_ID,SRA Study
SRR5369289,AMPLICON,600,29286600,PRJNA379981,SAMN06627756,Metagenome or environmental,20052446,STANFORD UNIVERSITY,2015-07,public,,s3,s3.us-east-1,SRX2664590,USA,North America,USA: Hawaii,Illumina MiSeq,soil,20.1538764 N 155.8073956 W,3_15_BAC111,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2018-04-30T00:00:00Z,0.25g,3_15_BAC111,Sample111,SRP102378
SRR5369290,AMPLICON,600,15886800,PRJNA379981,SAMN06627755,Metagenome or environmental,11038796,STANFORD UNIVERSITY,2015-07,public,,s3,s3.us-east-1,SRX2664591,USA,North America,USA: Hawaii,Illumina MiSeq,soil,20.1542733 N 155.8040183 W,3_14S_BAC110,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2018-04-30T00:00:00Z,0.25g,3_14S_BAC110,Sample110,SRP102378
SRR5369291,AMPLICON,600,20995800,PRJNA379981,SAMN06627754,Metagenome or environmental,14625663,STANFORD UNIVERSITY,2015-07,public,,s3,s3.us-east-1,SRX2664592,USA,North America,USA: Hawaii,Illumina MiSeq,soil,20.1542733 N 155.8040183 W,3_14_BAC109,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2018-04-30T00:00:00Z,0.25g,3_14_BAC109,Sample109,SRP102378
SRR5369292,AMPLICON,600,10099800,PRJNA379981,SAMN06627753,Metagenome or environmental,7087051,STANFORD UNIVERSITY,2015-07,public,,s3,s3.us-east-1,SRX2664593,USA,North America,USA: Hawaii,Illumina MiSeq,soil,20.1551911 N 155.7996752 W,3_EC1_BAC108,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2018-04-30T00:00:00Z,0.25g,3_EC1_BAC108,Sample108,SRP102378
SRR5369293,AMPLICON,600,17050800,PRJNA379981,SAMN06627752,Metagenome or environmental,11646320,STANFORD UNIVERSITY,2015-07,public,,s3,s3.us-east-1,SRX2664594,USA,North America,USA: Hawaii,Illumina MiSeq,soil,20.1551911 N 155.7996752 W,3_13_BAC107,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2018-04-30T00:00:00Z,0.25g,3_13_BAC107,Sample107,SRP102378
SRR5369294,AMPLICON,600,20185200,PRJNA379981,SAMN06627751,Metagenome or environmental,13822136,STANFORD UNIVERSITY,2015-07,public,,s3,s3.us-east-1,SRX2664595,USA,North America,USA: Hawaii,Illumina MiSeq,soil,20.1542168 N 155.7967897 W,3_12_BAC106,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2018-04-30T00:00:00Z,0.25g,3_12_BAC106,Sample106,SRP102378
SRR5369295,AMPLICON,600,29585400,PRJNA379981,SAMN06627750,Metagenome or environmental,20287074,STANFORD UNIVERSITY,2015-07,public,,s3,s3.us-east-1,SRX2664596,USA,North America,USA: Hawaii,Illumina MiSeq,soil,20.151047 N 155.7922973 W,3_11B_BAC105,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2018-04-30T00:00:00Z,0.25g,3_11B_BAC105,Sample105,SRP102378
SRR5369296,AMPLICON,600,30617400,PRJNA379981,SAMN06627749,Metagenome or environmental,21196739,STANFORD UNIVERSITY,2015-07,public,,s3,s3.us-east-1,SRX2664597,USA,North America,USA: Hawaii,Illumina MiSeq,soil,20.151047 N 155.7922973 W,3_11A_BAC104,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2018-04-30T00:00:00Z,0.25g,3_11A_BAC104,Sample104,SRP102378
SRR5369297,AMPLICON,600,16554600,PRJNA379981,SAMN06627748,Metagenome or environmental,11459371,STANFORD UNIVERSITY,2015-07,public,,s3,s3.us-east-1,SRX2664598,USA,North America,USA: Hawaii,Illumina MiSeq,soil,20.151047 N 155.7922973 W,3_11S_BAC103,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2018-04-30T00:00:00Z,0.25g,3_11S_BAC103,Sample103,SRP102378
SRR5369298,AMPLICON,600,36841800,PRJNA379981,SAMN06627747,Metagenome or environmental,25552625,STANFORD UNIVERSITY,2015-07,public,,s3,s3.us-east-1,SRX2664599,USA,North America,USA: Hawaii,Illumina MiSeq,soil,20.151047 N 155.7922973 W,3_11_BAC102,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2018-04-30T00:00:00Z,0.25g,3_11_BAC102,Sample102,SRP102378
SRR5369299,AMPLICON,600,48416400,PRJNA379981,SAMN06627746,Metagenome or environmental,33798578,STANFORD UNIVERSITY,2015-07,public,,s3,s3.us-east-1,SRX2664600,USA,North America,USA: Hawaii,Illumina MiSeq,soil,20.1483812 N 155.7873264 W,3_10_BAC101,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2018-04-30T00:00:00Z,0.25g,3_10_BAC101,Sample101,SRP102378
SRR5369300,AMPLICON,600,17736600,PRJNA379981,SAMN06627745,Metagenome or environmental,11948074,STANFORD UNIVERSITY,2015-07,public,,s3,s3.us-east-1,SRX2664601,USA,North America,USA: Hawaii,Illumina MiSeq,soil,20.1466804 N 155.7824111 W,3_9_BAC100,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2018-04-30T00:00:00Z,0.25g,3_9_BAC100,Sample100,SRP102378
SRR5369301,AMPLICON,600,43442400,PRJNA379981,SAMN06627744,Metagenome or environmental,29440376,STANFORD UNIVERSITY,2015-07,public,,s3,s3.us-east-1,SRX2664602,USA,North America,USA: Hawaii,Illumina MiSeq,soil,20.1456788 N 155.7778046 W,3_8_BAC99,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2018-04-30T00:00:00Z,0.25g,3_8_BAC99,Sample99,SRP102378
SRR5369302,AMPLICON,600,25480800,PRJNA379981,SAMN06627743,Metagenome or environmental,17544343,STANFORD UNIVERSITY,2015-07,public,,s3,s3.us-east-1,SRX2664603,USA,North America,USA: Hawaii,Illumina MiSeq,soil,20.1441914 N 155.7725012 W,3_7_BAC98,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2018-04-30T00:00:00Z,0.25g,3_7_BAC98,Sample98,SRP102378
SRR5369303,AMPLICON,600,38045400,PRJNA379981,SAMN06627742,Metagenome or environmental,25930397,STANFORD UNIVERSITY,2015-07,public,,s3,s3.us-east-1,SRX2664604,USA,North America,USA: Hawaii,Illumina MiSeq,soil,20.1423334 N 155.7672201 W,3_6B_BAC97,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2018-04-30T00:00:00Z,0.25g,3_6B_BAC97,Sample97,SRP102378
SRR5369304,AMPLICON,600,31330800,PRJNA379981,SAMN06627741,Metagenome or environmental,21624361,STANFORD UNIVERSITY,2015-07,public,,s3,s3.us-east-1,SRX2664605,USA,North America,USA: Hawaii,Illumina MiSeq,soil,20.1423334 N 155.7672201 W,3_6A_BAC96,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2018-04-30T00:00:00Z,0.25g,3_6A_BAC96,Sample96,SRP102378
