"","input","filtered","nonchim","total.loss.proportion"
"SRR12683101",50,45,45,0.1
"SRR12683102",8,6,6,0.25
"SRR12683103",259,218,218,0.158301158301158
"SRR12683104",24,22,22,0.0833333333333333
"SRR12683105",14,5,5,0.642857142857143
"SRR12683106",34,28,28,0.176470588235294
"SRR12683107",3836,3668,3668,0.0437956204379562
"SRR12683108",469,404,404,0.138592750533049
"SRR12683109",39,38,38,0.0256410256410256
"SRR12683110",64,55,55,0.140625
"SRR12683111",35,23,23,0.342857142857143
"SRR12683112",117,103,103,0.11965811965812
"SRR12683113",43,38,38,0.116279069767442
"SRR12683114",1864,1782,1782,0.0439914163090129
"SRR12683115",24694,24442,24442,0.010204908074836
"SRR12683116",24,22,22,0.0833333333333333
"SRR12683117",13,6,6,0.538461538461538
"SRR12683118",16,13,13,0.1875
"SRR12683119",593,566,566,0.045531197301855
"SRR12683120",44,37,37,0.159090909090909
"SRR12683121",228,209,209,0.0833333333333333
"SRR12683122",104,87,87,0.163461538461538
"SRR12683123",553,478,478,0.135623869801085
"SRR12683124",185,159,159,0.140540540540541
"SRR12683125",30,27,27,0.1
"SRR12683126",2,2,2,0
"SRR12683127",11,9,9,0.181818181818182
"SRR12683128",74,61,61,0.175675675675676
"SRR12683129",1275,1152,1152,0.0964705882352941
"SRR12683130",18,11,11,0.388888888888889
"SRR12683131",50,40,40,0.2
"SRR12683132",153,126,126,0.176470588235294
"SRR12683133",13,11,11,0.153846153846154
"SRR12683134",4690,4347,4324,0.073134328358209
"SRR12683135",8,6,6,0.25
"SRR12683136",7,5,5,0.285714285714286
"SRR12683137",7,5,5,0.285714285714286
"SRR12683138",59,57,57,0.0338983050847458
"SRR12683139",94,88,88,0.0638297872340425
"SRR12683140",87,71,71,0.183908045977011
"SRR12683141",13,13,13,0
"SRR12683142",32,28,28,0.125
"SRR12683143",6,6,6,0
"SRR12683144",18,11,11,0.388888888888889
"SRR12683145",18,12,12,0.333333333333333
"SRR12683146",24,21,21,0.125
"SRR12683147",3,2,2,0.333333333333333
"SRR12683148",10,10,10,0
